id,user_id,source,action,created_at,details
1217,0a8cc657-5d49-40b0-a161-3337688e5956,intro-test,user_prediction,2024-04-11 09:18:58.604459,"{""datapoint_count"":8,""prediction"":""under 50k"",""true_label"":""under 50k"",""confidence_level"":""4""}"
1219,0a8cc657-5d49-40b0-a161-3337688e5956,intro-test,user_prediction,2024-04-11 09:19:07.500672,"{""datapoint_count"":9,""prediction"":""under 50k"",""true_label"":""under 50k"",""confidence_level"":""1""}"
1221,0a8cc657-5d49-40b0-a161-3337688e5956,intro-test,user_prediction,2024-04-11 09:19:13.841068,"{""datapoint_count"":10,""prediction"":""over 50k"",""true_label"":""under 50k"",""confidence_level"":""2""}"
1224,0a8cc657-5d49-40b0-a161-3337688e5956,teaching,question,2024-04-11 09:19:56.529386,"{""datapoint_count"":1,""question"":"" What happens if the <b>value</b> of Education Level <b>is changed</b>, keeping all the other attributes the same?"",""question_id"":25}"
1226,0a8cc657-5d49-40b0-a161-3337688e5956,teaching,question,2024-04-11 09:20:06.523220,"{""datapoint_count"":1,""question"":"" Which attributes have the <b>biggest</b> impact on the model’s prediction for the current person?"",""question_id"":23}"
1228,0a8cc657-5d49-40b0-a161-3337688e5956,test,handleNext,2024-04-11 09:20:25.868725,"{""datapoint_count_new"":1}"
1230,0a8cc657-5d49-40b0-a161-3337688e5956,teaching,handleNext,2024-04-11 09:20:50.070214,"{""datapoint_count_new"":2}"
1234,c2812d94-73f4-45ed-a24a-b96bd10bcec6,intro-test,handleNext,2024-04-11 09:20:58.955161,"{""datapoint_count_new"":2}"
1239,c2812d94-73f4-45ed-a24a-b96bd10bcec6,intro-test,user_prediction,2024-04-11 09:21:11.159323,"{""datapoint_count"":2,""prediction"":""over 50k"",""true_label"":""over 50k"",""confidence_level"":""1""}"
1241,0a8cc657-5d49-40b0-a161-3337688e5956,teaching,question,2024-04-11 09:21:15.460973,"{""datapoint_count"":2,""question"":"" To <b>switch the model’s prediction</b>, which attributes would need to be different?"",""question_id"":7}"
1243,c2812d94-73f4-45ed-a24a-b96bd10bcec6,intro-test,handleNext,2024-04-11 09:21:19.366014,"{""datapoint_count_new"":4}"
1245,720bd337-3c25-4e20-9e78-187abec92efa,intro-test,handleNext,2024-04-11 09:21:20.844314,"{""datapoint_count_new"":2}"
1249,720bd337-3c25-4e20-9e78-187abec92efa,intro-test,handleNext,2024-04-11 09:21:30.232739,"{""datapoint_count_new"":3}"
1251,c2812d94-73f4-45ed-a24a-b96bd10bcec6,intro-test,handleNext,2024-04-11 09:21:30.817368,"{""datapoint_count_new"":5}"
1253,720bd337-3c25-4e20-9e78-187abec92efa,intro-test,user_prediction,2024-04-11 09:21:38.476432,"{""datapoint_count"":3,""prediction"":""under 50k"",""true_label"":""over 50k"",""confidence_level"":""3""}"
